iter	Passed	Remaining
0	51	51839
1	55	27934
2	60	20033
3	64	16107
4	68	13725
5	73	12176
6	78	11099
7	82	10286
8	86	9561
9	91	9026
10	95	8561
11	99	8229
12	104	7970
13	109	7688
14	114	7497
15	121	7482
16	127	7381
17	132	7241
18	137	7103
19	143	7011
20	148	6927
21	153	6840
22	158	6739
23	166	6760
24	171	6703
25	177	6657
26	183	6596
27	188	6536
28	193	6485
29	199	6442
30	204	6384
31	211	6389
32	217	6373
33	222	6327
34	229	6339
35	235	6301
36	239	6241
37	246	6237
38	250	6183
39	257	6186
40	261	6121
41	266	6069
42	270	6016
43	274	5965
44	278	5920
45	283	5870
46	287	5824
47	291	5782
48	296	5745
49	300	5708
50	304	5666
51	309	5636
52	313	5600
53	317	5564
54	321	5532
55	326	5508
56	331	5476
57	335	5442
58	339	5413
59	343	5381
60	347	5355
61	352	5331
62	356	5305
63	361	5280
64	365	5253
65	369	5231
66	375	5231
67	380	5214
68	384	5192
69	389	5176
70	394	5160
71	398	5137
72	402	5117
73	407	5100
74	412	5083
75	417	5080
76	422	5061
77	426	5043
78	430	5022
79	435	5005
80	439	4990
81	444	4971
82	448	4952
83	452	4935
84	457	4920
85	461	4905
86	466	4892
87	470	4880
88	476	4873
89	480	4860
90	485	4850
91	491	4854
92	497	4855
93	502	4843
94	507	4835
95	511	4818
96	515	4800
97	520	4786
98	524	4771
99	528	4756
100	532	4741
101	537	4728
102	541	4719
103	546	4710
104	551	4697
105	555	4684
106	559	4671
107	564	4659
108	568	4649
109	572	4635
110	577	4625
111	582	4616
112	587	4613
113	592	4601
114	596	4588
115	600	4577
116	604	4565
117	610	4565
118	619	4584
119	623	4573
120	628	4562
121	632	4553
122	636	4539
123	641	4529
124	645	4516
125	651	4519
126	656	4510
127	660	4497
128	665	4490
129	669	4477
130	673	4467
131	677	4455
132	682	4446
133	686	4436
134	690	4427
135	695	4420
136	700	4409
137	704	4399
138	708	4387
139	712	4377
140	716	4366
141	720	4355
142	725	4346
143	729	4336
144	733	4326
145	737	4316
146	742	4306
147	747	4301
148	751	4292
149	756	4284
150	760	4273
151	764	4266
152	768	4256
153	773	4249
154	777	4240
155	781	4230
156	786	4223
157	790	4213
158	795	4207
159	799	4197
160	804	4190
161	808	4182
162	812	4173
163	816	4164
164	820	4154
165	825	4147
166	829	4137
167	833	4128
168	837	4119
169	842	4111
170	846	4102
171	850	4093
172	854	4085
173	859	4079
174	864	4075
175	868	4066
176	875	4068
177	880	4065
178	885	4060
179	889	4052
180	894	4045
181	898	4038
182	902	4029
183	907	4024
184	911	4017
185	916	4009
186	920	4001
187	925	3996
188	929	3989
189	934	3982
190	938	3973
191	942	3966
192	947	3961
193	952	3959
194	958	3957
195	964	3956
196	969	3951
197	973	3944
198	978	3937
199	982	3930
200	986	3922
201	991	3917
202	995	3909
203	1000	3902
204	1004	3896
205	1008	3888
206	1013	3881
207	1017	3873
208	1022	3868
209	1026	3860
210	1030	3852
211	1034	3846
212	1039	3839
213	1043	3833
214	1047	3825
215	1053	3822
216	1057	3814
217	1062	3812
218	1066	3802
219	1070	3796
220	1075	3790
221	1079	3783
222	1083	3776
223	1088	3770
224	1093	3765
225	1099	3763
226	1105	3764
227	1110	3760
228	1115	3757
229	1123	3759
230	1128	3756
231	1133	3752
232	1138	3749
233	1150	3765
234	1156	3763
235	1161	3759
236	1166	3754
237	1171	3749
238	1175	3743
239	1180	3736
240	1186	3735
241	1191	3731
242	1196	3726
243	1200	3720
244	1204	3713
245	1209	3706
246	1213	3698
247	1217	3692
248	1222	3685
249	1226	3679
250	1230	3673
251	1235	3666
252	1239	3660
253	1244	3653
254	1248	3647
255	1254	3645
256	1258	3639
257	1263	3634
258	1267	3627
259	1272	3621
260	1277	3616
261	1281	3610
262	1286	3603
263	1290	3597
264	1294	3590
265	1298	3583
266	1303	3577
267	1307	3570
268	1311	3564
269	1316	3558
270	1320	3552
271	1325	3546
272	1329	3540
273	1333	3534
274	1337	3527
275	1342	3520
276	1346	3515
277	1351	3509
278	1355	3502
279	1359	3496
280	1364	3490
281	1368	3483
282	1372	3476
283	1376	3470
284	1380	3463
285	1385	3457
286	1389	3452
287	1395	3449
288	1399	3442
289	1403	3436
290	1407	3430
291	1412	3424
292	1416	3418
293	1421	3412
294	1425	3405
295	1429	3399
296	1433	3393
297	1437	3387
298	1443	3383
299	1448	3378
300	1452	3373
301	1458	3370
302	1463	3366
303	1468	3363
304	1473	3357
305	1477	3350
306	1481	3344
307	1485	3337
308	1489	3331
309	1494	3325
310	1499	3322
311	1505	3319
312	1511	3317
313	1515	3311
314	1520	3305
315	1524	3299
316	1528	3293
317	1532	3287
318	1536	3280
319	1541	3275
320	1545	3269
321	1550	3263
322	1554	3258
323	1558	3251
324	1562	3245
325	1566	3239
326	1571	3235
327	1576	3229
328	1583	3229
329	1589	3226
330	1593	3220
331	1597	3213
332	1601	3208
333	1606	3202
334	1610	3196
335	1614	3191
336	1619	3185
337	1624	3180
338	1628	3174
339	1632	3168
340	1636	3163
341	1641	3157
342	1645	3151
343	1649	3145
344	1654	3140
345	1658	3135
346	1663	3129
347	1667	3123
348	1671	3117
349	1676	3112
350	1680	3106
351	1684	3101
352	1688	3095
353	1693	3090
354	1697	3084
355	1701	3078
356	1706	3073
357	1710	3067
358	1714	3061
359	1719	3056
360	1723	3050
361	1727	3044
362	1731	3038
363	1736	3033
364	1740	3027
365	1744	3021
366	1748	3016
367	1753	3011
368	1757	3005
369	1761	2999
370	1766	2994
371	1770	2989
372	1774	2983
373	1779	2977
374	1783	2972
375	1788	2967
376	1792	2961
377	1796	2956
378	1800	2950
379	1805	2945
380	1809	2940
381	1813	2934
382	1818	2929
383	1823	2924
384	1827	2918
385	1831	2913
386	1836	2908
387	1841	2904
388	1847	2901
389	1852	2897
390	1857	2892
391	1861	2887
392	1865	2882
393	1870	2876
394	1874	2871
395	1879	2866
396	1883	2861
397	1888	2855
398	1892	2850
399	1897	2845
400	1901	2840
401	1905	2834
402	1909	2828
403	1913	2823
404	1918	2817
405	1923	2813
406	1927	2807
407	1932	2803
408	1938	2800
409	1942	2795
410	1947	2790
411	1950	2783
412	1954	2778
413	1959	2773
414	1963	2768
415	1968	2763
416	1973	2758
417	1977	2753
418	1982	2748
419	1985	2742
420	1989	2736
421	1994	2731
422	1998	2726
423	2003	2722
424	2007	2716
425	2012	2711
426	2015	2705
427	2020	2699
428	2024	2694
429	2028	2689
430	2032	2683
431	2036	2678
432	2040	2672
433	2045	2667
434	2049	2662
435	2054	2657
436	2059	2653
437	2065	2649
438	2070	2646
439	2075	2641
440	2082	2639
441	2087	2634
442	2094	2633
443	2099	2629
444	2104	2624
445	2109	2620
446	2114	2615
447	2118	2610
448	2123	2605
449	2127	2599
450	2131	2594
451	2135	2589
452	2140	2584
453	2143	2578
454	2148	2573
455	2153	2569
456	2157	2563
457	2161	2558
458	2165	2552
459	2169	2547
460	2173	2541
461	2177	2536
462	2181	2530
463	2185	2525
464	2190	2520
465	2194	2514
466	2198	2509
467	2203	2504
468	2207	2499
469	2210	2492
470	2214	2487
471	2218	2481
472	2222	2476
473	2226	2471
474	2231	2466
475	2235	2461
476	2239	2455
477	2243	2449
478	2247	2444
479	2251	2439
480	2255	2433
481	2259	2428
482	2262	2421
483	2266	2416
484	2270	2411
485	2275	2406
486	2280	2401
487	2285	2397
488	2290	2393
489	2295	2389
490	2299	2383
491	2304	2379
492	2309	2375
493	2314	2370
494	2319	2365
495	2323	2360
496	2328	2356
497	2337	2355
498	2341	2351
499	2346	2346
500	2352	2343
501	2357	2338
502	2361	2333
503	2366	2328
504	2370	2323
505	2374	2317
506	2378	2312
507	2382	2307
508	2387	2302
509	2391	2297
510	2395	2292
511	2399	2287
512	2404	2282
513	2409	2277
514	2413	2272
515	2418	2268
516	2428	2269
517	2432	2263
518	2435	2257
519	2440	2252
520	2444	2247
521	2449	2242
522	2452	2237
523	2457	2232
524	2461	2227
525	2465	2221
526	2469	2216
527	2473	2211
528	2478	2206
529	2481	2201
530	2486	2196
531	2491	2191
532	2495	2186
533	2499	2181
534	2502	2175
535	2506	2169
536	2511	2165
537	2515	2159
538	2519	2154
539	2523	2149
540	2527	2144
541	2531	2139
542	2535	2133
543	2539	2128
544	2543	2123
545	2551	2121
546	2555	2116
547	2560	2111
548	2564	2107
549	2568	2101
550	2573	2096
551	2577	2092
552	2581	2086
553	2585	2081
554	2589	2076
555	2594	2071
556	2597	2066
557	2601	2060
558	2606	2055
559	2610	2050
560	2614	2046
561	2619	2041
562	2623	2036
563	2627	2031
564	2631	2026
565	2635	2021
566	2639	2016
567	2644	2011
568	2648	2006
569	2652	2000
570	2656	1995
571	2660	1990
572	2664	1985
573	2668	1980
574	2673	1976
575	2677	1970
576	2681	1965
577	2686	1961
578	2690	1956
579	2694	1951
580	2698	1946
581	2702	1941
582	2707	1936
583	2711	1931
584	2715	1926
585	2719	1920
586	2723	1916
587	2727	1911
588	2731	1906
589	2736	1901
590	2740	1896
591	2744	1891
592	2748	1886
593	2753	1882
594	2757	1877
595	2761	1871
596	2765	1866
597	2769	1862
598	2774	1857
599	2777	1851
600	2782	1847
601	2787	1842
602	2790	1837
603	2794	1832
604	2799	1827
605	2803	1822
606	2812	1820
607	2817	1816
608	2821	1811
609	2825	1806
610	2829	1801
611	2833	1796
612	2838	1791
613	2842	1786
614	2846	1781
615	2851	1777
616	2855	1772
617	2859	1767
618	2863	1762
619	2867	1757
620	2871	1752
621	2875	1747
622	2879	1742
623	2883	1737
624	2887	1732
625	2891	1727
626	2895	1722
627	2901	1718
628	2906	1714
629	2911	1709
630	2915	1704
631	2919	1700
632	2923	1695
633	2927	1690
634	2932	1685
635	2935	1680
636	2939	1675
637	2943	1670
638	2947	1665
639	2951	1660
640	2955	1655
641	2960	1650
642	2965	1646
643	2968	1641
644	2972	1636
645	2976	1631
646	2981	1626
647	2985	1621
648	2989	1616
649	2993	1612
650	2997	1607
651	3001	1602
652	3005	1597
653	3010	1592
654	3014	1587
655	3018	1582
656	3022	1577
657	3027	1573
658	3031	1568
659	3035	1563
660	3039	1558
661	3043	1554
662	3048	1549
663	3053	1545
664	3057	1540
665	3062	1535
666	3066	1530
667	3070	1525
668	3075	1521
669	3079	1516
670	3084	1512
671	3089	1508
672	3094	1503
673	3099	1498
674	3103	1494
675	3107	1489
676	3111	1484
677	3116	1479
678	3119	1474
679	3124	1470
680	3128	1465
681	3132	1460
682	3136	1455
683	3141	1451
684	3145	1446
685	3150	1441
686	3154	1437
687	3158	1432
688	3162	1427
689	3166	1422
690	3170	1417
691	3174	1412
692	3178	1408
693	3182	1403
694	3186	1398
695	3191	1393
696	3194	1388
697	3198	1383
698	3202	1379
699	3206	1374
700	3210	1369
701	3214	1364
702	3218	1359
703	3222	1354
704	3226	1350
705	3230	1345
706	3234	1340
707	3238	1335
708	3243	1331
709	3246	1326
710	3250	1321
711	3255	1316
712	3259	1311
713	3263	1307
714	3267	1302
715	3270	1297
716	3275	1292
717	3278	1287
718	3282	1283
719	3287	1278
720	3291	1273
721	3295	1269
722	3300	1264
723	3304	1259
724	3308	1254
725	3311	1249
726	3316	1245
727	3319	1240
728	3324	1235
729	3328	1231
730	3332	1226
731	3336	1221
732	3340	1216
733	3344	1211
734	3348	1207
735	3351	1202
736	3356	1197
737	3359	1192
738	3363	1188
739	3367	1183
740	3371	1178
741	3377	1174
742	3380	1169
743	3384	1164
744	3390	1160
745	3396	1156
746	3401	1151
747	3405	1147
748	3410	1142
749	3414	1138
750	3419	1133
751	3423	1129
752	3428	1124
753	3433	1120
754	3437	1115
755	3441	1110
756	3445	1105
757	3448	1101
758	3452	1096
759	3456	1091
760	3460	1086
761	3464	1081
762	3468	1077
763	3472	1072
764	3476	1067
765	3480	1063
766	3484	1058
767	3488	1053
768	3491	1048
769	3495	1044
770	3500	1039
771	3504	1034
772	3507	1030
773	3513	1025
774	3521	1022
775	3525	1017
776	3529	1013
777	3534	1008
778	3538	1003
779	3542	999
780	3546	994
781	3551	989
782	3554	985
783	3559	980
784	3564	976
785	3568	971
786	3572	967
787	3577	962
788	3581	957
789	3585	953
790	3589	948
791	3593	943
792	3597	939
793	3601	934
794	3605	929
795	3609	925
796	3614	920
797	3617	915
798	3621	911
799	3625	906
800	3629	901
801	3633	897
802	3637	892
803	3642	887
804	3645	883
805	3649	878
806	3653	873
807	3658	869
808	3662	864
809	3666	859
810	3669	855
811	3674	850
812	3677	845
813	3681	841
814	3686	836
